epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8473,3.1352,4.62454,4.21276,0.00286,0.64219,0.01956,0.00489,2.46166,4.5365,4.04916,0.0002346,0.0002346,0.0002346
2,201.306,3.1009,4.27919,3.99281,0.41473,0.11166,0.01021,0.00321,2.52691,4.68096,3.42018,0.000457004,0.000457004,0.000457004
3,292.189,3.02832,3.85552,3.65382,0.21257,0.08706,0.0085,0.00218,2.62308,12.6695,3.71387,0.0006637,0.0006637,0.0006637
4,388.711,2.87656,3.66119,3.39592,0.32409,0.07957,0.02158,0.00788,2.48264,4.38265,3.24335,0.000643314,0.000643314,0.000643314
5,478.007,2.60636,3.54563,3.17864,0.15504,0.14612,0.04805,0.01539,2.34673,4.17227,3.10909,0.000619752,0.000619752,0.000619752
6,565.26,2.44011,3.36054,3.00432,0.13057,0.25631,0.09038,0.03014,2.29504,3.9335,2.91255,0.00059619,0.00059619,0.00059619
7,652.409,2.26241,3.2624,2.86031,0.26976,0.16757,0.09436,0.03484,2.16521,3.96761,2.83583,0.000572628,0.000572628,0.000572628
8,739.825,2.19435,3.20017,2.74959,0.39186,0.22958,0.13648,0.0572,2.15022,3.79742,2.79956,0.000549066,0.000549066,0.000549066
9,827.31,2.14791,3.12445,2.68547,0.20925,0.31979,0.12956,0.05234,2.08612,3.9268,2.7287,0.000525504,0.000525504,0.000525504
10,913.715,2.05248,3.0466,2.59868,0.3069,0.29963,0.19141,0.07409,2.07002,3.11676,2.82278,0.000501942,0.000501942,0.000501942
11,1000.29,2.02063,2.96789,2.57211,0.24549,0.31674,0.18816,0.07675,2.02789,3.13727,2.6239,0.00047838,0.00047838,0.00047838
12,1086.8,1.99532,2.90513,2.5385,0.18189,0.34419,0.19961,0.08575,1.9581,3.26223,2.58509,0.000454818,0.000454818,0.000454818
13,1173.3,1.93781,2.88208,2.48597,0.35634,0.35861,0.26772,0.11326,1.92891,3.09103,2.53383,0.000431256,0.000431256,0.000431256
14,1260.04,1.93759,2.81804,2.47096,0.31902,0.38289,0.24962,0.10353,1.89313,3.27679,2.57331,0.000407694,0.000407694,0.000407694
15,1346.57,1.92556,2.82046,2.45477,0.27072,0.33024,0.25855,0.11964,1.89512,2.94778,2.48995,0.000384132,0.000384132,0.000384132
16,1432.91,1.85145,2.76788,2.41893,0.18765,0.36778,0.24518,0.10578,1.89694,2.99679,2.49652,0.00036057,0.00036057,0.00036057
17,1519.49,1.87078,2.72697,2.41831,0.4804,0.31142,0.30009,0.13132,1.80744,2.96408,2.47526,0.000337008,0.000337008,0.000337008
18,1605.83,1.85047,2.69239,2.39909,0.34318,0.36142,0.33783,0.14968,1.82293,2.68039,2.48848,0.000313446,0.000313446,0.000313446
19,1692.1,1.83957,2.67801,2.37836,0.41475,0.33361,0.27969,0.12796,1.82398,2.73569,2.44918,0.000289884,0.000289884,0.000289884
20,1778.58,1.81434,2.60313,2.37514,0.32873,0.41443,0.33537,0.14845,1.83439,2.79913,2.51199,0.000266322,0.000266322,0.000266322
21,1863.74,1.74597,2.79097,2.395,0.37379,0.41269,0.39861,0.18422,1.79271,2.59476,2.53006,0.00024276,0.00024276,0.00024276
22,1948.79,1.74395,2.53864,2.40021,0.38465,0.4507,0.41139,0.18714,1.78727,2.47433,2.47835,0.000219198,0.000219198,0.000219198
23,2033.92,1.71082,2.43892,2.36649,0.418,0.47223,0.44771,0.20321,1.78879,2.40341,2.46221,0.000195636,0.000195636,0.000195636
24,2119.07,1.69209,2.39696,2.35067,0.38791,0.42398,0.44854,0.20665,1.80364,2.43188,2.5225,0.000172074,0.000172074,0.000172074
25,2204.17,1.67506,2.33393,2.33291,0.45563,0.45814,0.44517,0.20848,1.78596,2.38203,2.48075,0.000148512,0.000148512,0.000148512
26,2289.3,1.69883,2.303,2.30561,0.44988,0.44479,0.45556,0.21515,1.78777,2.38187,2.47187,0.00012495,0.00012495,0.00012495
27,2374.43,1.67437,2.25868,2.29631,0.53088,0.42977,0.49917,0.24704,1.77931,2.31343,2.46133,0.000101388,0.000101388,0.000101388
28,2459.46,1.65482,2.21413,2.28525,0.51457,0.50515,0.50977,0.24357,1.77825,2.25845,2.44894,7.7826e-05,7.7826e-05,7.7826e-05
29,2544.51,1.62175,2.18534,2.25335,0.52628,0.46949,0.51141,0.2482,1.78133,2.26555,2.45979,5.4264e-05,5.4264e-05,5.4264e-05
30,2629.7,1.63555,2.1878,2.27759,0.50618,0.46934,0.51704,0.25436,1.75884,2.24702,2.43922,3.0702e-05,3.0702e-05,3.0702e-05
